"dataset_id","dno_name","dno_alias","secondary_substation_id","secondary_substation_name","substation_geo_location","aggregated_device_count_active","primary_consumption_active_import","secondary_consumption_active_import","total_consumption_active_import","aggregated_device_count_reactive","total_consumption_reactive_import","data_collection_log_timestamp","insert_time","last_modified_time"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,272,NA,272,8,99,"2024-02-18 19:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,236,NA,236,8,91,"2024-02-18 19:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,429,NA,429,8,106,"2024-02-18 20:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,423,NA,423,8,97,"2024-02-18 20:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,1185,NA,1185,8,100,"2024-02-18 21:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,550,NA,550,8,106,"2024-02-18 21:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,146,NA,146,8,32,"2024-02-18 22:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,238,NA,238,8,28,"2024-02-18 22:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,108,NA,108,8,41,"2024-02-18 23:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,223,NA,223,8,40,"2024-02-18 23:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,107,NA,107,8,31,"2024-02-19 00:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,225,NA,225,8,35,"2024-02-19 00:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,153,NA,153,8,46,"2024-02-19 01:00:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
"NPg_Substation_February2024","Northern Powergrid","NPg",148553006,"SEVENTH STREET HORDEN","54.764915, -1.3154537",5,209,NA,209,8,74,"2024-02-19 01:30:00.000","2024-03-21T12:00:00+00.00","2024-03-21T12:00:00+00.00"
